actor_loss,all_same_role_rate,approx_kl,avg_P_D,clip_fraction,comm_agent_var,comm_cost,constraint_violation_rate,critic_loss,entropy,entropy_coef,episode,eval_full_P_D,eval_per_target,eval_steady_P_D,eval_target_std,eval_weak3_P_D,eval_worst_P_D,lagrangian_lambda,mean_adv_abs,mean_return,mean_utility,mean_value,no_TX_rate,team_reward,time,total_frames,valid_pair_rate,worst_P_D
-0.004717476665973663,0.0,7.952126133203643e-05,0.369024659405621,0.0,0.0,0.0050839215686274515,0.9553921568627451,63.521766662597656,2.8381471804210117,0.029897999999999997,0,0.41457480006247904,"[0.22345422951663513, 0.5778303751413503, 0.5433075620934336, 0.6025871538994455]",0.4867948301627161,0.45656725741146015,0.3157264402169548,0.0034463858178910263,0.0017107843137254904,0.7938231229782104,83.90992736816406,0.3816672099469849,-0.29284507036209106,0.0,3.1421682034065976,23.83071517944336,2040,1.0,0.2705627245543994
0.00044790515676140785,,1.7601355552117536e-05,0.39751653707440354,0.0,0.0,0.005029019607843138,0.9411764705882353,37.64437048775809,2.838739275932312,0.029796,1,,,,,,,0.0033931372549019607,0.7991775870323181,100.4105453491211,0.41097946101999644,56.96909713745117,,3.355661337029549,22.810642957687378,4080,,0.3131616025936541
0.001875230177704777,,5.976114288682087e-05,0.47746712514848766,0.0,0.0,0.004922352941176471,0.9602941176470589,60.886985778808594,2.8389153139931813,0.029693999999999998,2,,,,,,,0.0051137254901960786,0.8301196098327637,138.1430206298828,0.48768768302061694,82.76451110839844,,4.491825623964198,23.270052671432495,6120,,0.335124934394784
-0.012792240695229598,,2.886958614267291e-05,0.3683810276832534,0.0,0.0,0.004983529411764707,0.9573529411764706,44.708474840436665,2.8391312531062534,0.029592,3,,,,,,,0.00682843137254902,0.7617931962013245,143.272216796875,0.37930757465305964,122.88469696044922,,3.147279794041376,23.06177258491516,8160,,0.32090976893830386
0.0009063601527096969,,5.2502641869721965e-05,0.41311192272939445,0.0,0.0,0.00500392156862745,0.9553921568627451,54.03072384425572,2.839523298399789,0.02949,4,,,,,,,0.00853921568627451,0.8104734420776367,140.90966796875,0.42610269332373135,120.36307525634766,,3.688284404769647,22.89416766166687,10200,,0.3857508800624485
0.01398091743301068,,1.890510381185357e-05,0.4267336069500308,0.0,0.0,0.0048298039215686275,0.971078431372549,47.3336614881243,2.8400002207074846,0.029387999999999997,5,,,,,,,0.010281372549019608,0.7667167782783508,151.9624786376953,0.437890838586865,154.98016357421875,,3.903460159595269,23.2811222076416,12240,,0.3132496145782171
-0.002849286821271692,,2.752621118128668e-05,0.5005912168162396,0.0,0.0,0.0052,0.9068627450980392,58.35144969395229,2.8404481751578197,0.029286,6,,,,,,,0.011895098039215686,0.7476869225502014,189.32566833496094,0.5132084410553597,150.45237731933594,,4.655594306829366,23.180152654647827,14280,,0.36289969689620316
0.002142532595566341,,2.4998443499437855e-05,0.3832651418249793,0.0,0.0,0.005127843137254903,0.9872549019607844,47.643750054495676,2.840488927704947,0.029183999999999998,7,,,,,,,0.013669607843137255,0.7586736083030701,166.58319091796875,0.3970146085362948,193.1796112060547,,3.234715300488567,23.041828870773315,16320,,0.3363115369287626
0.004074956423469952,,1.5502490771842387e-05,0.44538296121906573,0.0,0.0,0.004795294117647059,0.9426470588235295,58.43230765206473,2.840419752257211,0.029082,8,,,,,,,0.015354901960784314,0.7537940740585327,166.92942810058594,0.4591050503288432,168.25341796875,,4.360106242955316,23.197693824768066,18360,,0.39239054763263115
0.0011646655787314688,,3.074270013876271e-05,0.4572046503535951,0.0,0.0,0.00488,0.967156862745098,44.555324281964985,2.8405217954090665,0.02898,9,,,,,,,0.01708921568627451,0.8079727292060852,147.2491912841797,0.46864003586879743,141.7206268310547,,4.021708618238953,22.78818106651306,20400,,0.2788989113569819
-0.0051294102200439996,,2.74407044400436e-05,0.3952565472648822,0.0,0.0,0.004997647058823529,0.971078431372549,36.88841302054269,2.841044102396284,0.028877999999999997,10,,,,,,,0.01883137254901961,0.7556731700897217,165.82046508789062,0.4100390872318614,158.56898498535156,,3.3540042014933467,22.73813772201538,22440,,0.35787463277678755
-0.002702145537893687,,1.390504616652355e-05,0.43499236685558784,0.0,0.0,0.0049882352941176475,0.9490196078431372,45.27563394818987,2.8414786202566966,0.028776,11,,,,,,,0.020529411764705886,0.746554434299469,149.70582580566406,0.4442347442716281,150.0001678466797,,4.01400661683548,22.965715646743774,24480,,0.32496062263714215
-0.0011241441326481955,,1.1809687378988576e-05,0.4012373461028973,0.0,0.0,0.0050509803921568635,0.969607843137255,54.24044745309012,2.8417520693370273,0.028673999999999998,12,,,,,,,0.022268627450980398,0.7878584265708923,142.81930541992188,0.41094855281049336,161.2375030517578,,3.6762383306495616,22.977596282958984,26520,,0.3351406662109629
-0.011384824823055948,,3.325834989107672e-05,0.5038111082852045,0.0,0.0,0.005220392156862746,0.9534313725490197,44.7197516305106,2.8418870142527988,0.028572,13,,,,,,,0.023975490196078437,0.7680777907371521,185.73899841308594,0.519717382513467,149.58892822265625,,4.333326113162482,22.780136346817017,28560,,0.4443583810728919
-0.004916309645133359,,3.380027305338397e-05,0.4649203802436344,0.0,0.0,0.005113725490196079,0.9544117647058823,51.917457580566406,2.842171345438276,0.02847,14,,,,,,,0.025684313725490203,0.7591351270675659,167.85256958007812,0.4802166622039387,190.8215789794922,,3.706332523576,23.157142877578735,30600,,0.40719955757291426
-0.002645443326660565,,1.7031604128834944e-05,0.4406829483556602,0.0,0.0,0.00483921568627451,0.9784313725490196,43.72562462942941,2.8425787687301636,0.028367999999999997,15,,,,,,,0.027441176470588243,0.7766897678375244,155.91810607910156,0.4526178501685351,176.81065368652344,,3.9428121875154076,22.964459657669067,32640,,0.25475304068464183
0.005444547427552087,,2.7030349152143023e-05,0.44131755296560743,0.0,0.0,0.005030588235294117,0.9377450980392158,44.60571806771414,2.842897040503366,0.028266,16,,,,,,,0.029116666666666676,0.7390573620796204,180.8975372314453,0.4525008836793765,156.28302001953125,,4.173010235732768,22.996785163879395,34680,,0.3754669900772031
0.006086228681462151,,1.6051630556096486e-05,0.4022566564778974,0.0,0.0,0.004992941176470589,0.9803921568627451,47.09667832510812,2.8431017228535245,0.028163999999999998,17,,,,,,,0.030877450980392167,0.7457215785980225,178.2677001953125,0.4153994768919525,177.43087768554688,,3.914799855110026,22.93550944328308,36720,,0.30794070888377706
-0.0009921272950513022,,3.359440965536904e-05,0.4887060680116667,0.0,0.0,0.0049160784313725505,0.9519607843137255,48.48196792602539,2.8434349468776157,0.028062,18,,,,,,,0.03258137254901962,0.7630515098571777,176.52084350585938,0.49952867781869764,186.94287109375,,4.529458280737682,22.858639001846313,38760,,0.40488484714753464
